,pubChemID,common_name,functional_group
0,19,"2,3-Dihydroxybenzoic Acid","Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
1,45,Tartronic Acid,"Hydroxy compound, Alcohol, Sec. alcohol, Carboxylic acid deriv., Carboxylic acid, Alpha-hydroxyacid"
2,51,2-Ketoglutaric Acid,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid"
3,70,4-Methyl-2-Oxovaleric Acid,"Carbonyl compound, Ketone, Carboxylic acid deriv., Carboxylic acid"
4,72,"3,4-Dihydroxybenzoic Acid","Hydroxy compound, Phenol, 1,2-diphenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
5,86,2-Amino-3-Hydroxybenzoic Acid,"Hydroxy compound, Phenol, Amine, Prim. amine, Prim. aromat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
6,119,4-Aminobutyric Acid,"Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid"
7,125,4-Hydroxybenzyl Alcohol,"Hydroxy compound, Alcohol, Prim. alcohol, Phenol, Aromatic compound"
8,126,4-Hydroxybenzaldehyde,"Carbonyl compound, Aldehyde, Hydroxy compound, Phenol, Aromatic compound"
9,127,4-Hydroxyphenylacetic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
10,135,4-Hydroxybenzoic Acid,"Hydroxy compound, Phenol, Carboxylic acid deriv., Carboxylic acid, Aromatic compound"
11,137,5-Aminolevulinic Acid,"Carbonyl compound, Ketone, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid"
12,144,5-Hydroxy-Dl-Tryptophan,"Hydroxy compound, Phenol, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Aromatic compound, Heterocyclic compound, Alpha-aminoacid"
13,176,Acetic Acid,"Carboxylic acid deriv., Carboxylic acid"
14,177,Acetaldehyde,"Carbonyl compound, Aldehyde"
15,179,Acetoin,"Carbonyl compound, Ketone, Hydroxy compound, Alcohol, Sec. alcohol"
16,180,Acetone,"Carbonyl compound, Ketone"
17,187,Acetylcholine,"Cation, Quaternary ammonium salt, Carboxylic acid deriv., Carboxylic acid ester"
18,190,Adenine,"Amine, Prim. amine, Prim. aromat. amine, Aromatic compound, Heterocyclic compound"
19,196,Adipic Acid,"Carboxylic acid deriv., Carboxylic acid"
20,199,Agmatine,"Amine, Prim. amine, Prim. aliphat. amine, Guanidine"
21,203,Allantoic Acid,"Aminal, Carboxylic acid deriv., Carboxylic acid, Urea"
22,204,Allantoin,"Aminal, Carboxylic acid deriv., Carboxylic acid imide, Carboxylic acid unsubst. imide, Urea, Heterocyclic compound"
23,205,Dl-Threonine,"Hydroxy compound, Alcohol, Sec. alcohol, 1,2-aminoalcohol, Amine, Prim. amine, Prim. aliphat. amine, Carboxylic acid deriv., Carboxylic acid, Alpha-aminoacid"
24,206,Hexopyranose,"Hemiacetal, Hydroxy compound, Alcohol, Prim. alcohol, Sec. alcohol, 1,2-diol, Heterocyclic compound"
25,222,Ammonia,
