,id,category,name,disease_synonyms
0,MESH:C567641,Eye disease|Immune system disease|Mental disorder|Musculoskeletal disease|Nervous system disease|Pathology (process),Roifman-Chitayat Syndrome,"Combined Immunodeficiency, Facial Dysmorphism, Optic Nerve Atrophy, Skeletal Anomalies, And Developmental Delay"
1,MESH:C565211,Ear-nose-throat disease|Nervous system disease|Signs and symptoms,"Deafness, Autosomal Recessive 65",DFNB65
2,MESH:D000014,Congenital abnormality,"Abnormalities, Drug-Induced","Abnormalities, Drug Induced|Abnormality, Drug-Induced|Drug Induced Abnormalities|Drug-Induced Abnormalities|Drug-Induced Abnormality"
3,OMIM:615267,Endocrine system disease|Nervous system disease|Signs and symptoms,HYPOGONADOTROPIC HYPOGONADISM 18 WITH OR WITHOUT ANOSMIA,HH18
4,MESH:C548032,Signs and symptoms|Skin disease,Legius syndrome,Neurofibromatosis Type 1-Like Syndrome|NFLS
5,MESH:C564605,Nervous system disease,"Epilepsy, Partial, with Pericentral Spikes",EPPS|PEPS
6,MESH:C536176,Musculoskeletal disease|Nervous system disease|Urogenital disease (female)|Urogenital disease (male),Dimauro disease,"Deficiency Mutase Phosphoglycerate|Glycogen Storage Disease X|Gsd10|Gsd X|Human muscle phosphoglycerate mutase deficiency|Myopathy due to phosphoglycerate mutase deficiency|Pgam Deficiency|PGAMM deficiency|Phosphoglycerate Mutase Deficiency|Phosphoglycerate Mutase, Muscle, Deficiency of"
7,MESH:D018221,Cancer,"Fibromatosis, Abdominal","Abdominal Fibromatoses|Abdominal Fibromatosis|Fibromatoses, Abdominal"
8,MESH:C565850,Endocrine system disease|Eye disease|Genetic disease (inborn)|Nervous system disease,"Chorioretinal Dystrophy, Spinocerebellar Ataxia, and Hypogonadotropic Hypogonadism","BNHS|Boucher-Neuhauser Syndrome|SPINOCEREBELLAR ATAXIA, HYPOGONADOTROPIC HYPOGONADISM, AND CHORIORETINAL DYSTROPHY"
9,MESH:C536601,Eye disease,"Amaurosis congenita of Leber, type 2",Amaurosis Congenita Of Leber Ii|LCA2|Leber Congenital Amaurosis 2|Leber congenital amaurosis type 2
10,OMIM:613756,Eye disease|Genetic disease (inborn),RETINITIS PIGMENTOSA 49,RP49
11,MESH:C567260,Blood disease,"Neutropenia, Severe Congenital, Autosomal Recessive 4","DURSUN SYNDROME, INCLUDED|NEUTROPENIA, SEVERE CONGENITAL, 4, AUTOSOMAL RECESSIVE|PULMONARY ARTERIAL HYPERTENSION, LEUKOPENIA, AND ATRIAL SEPTAL DEFECT, INCLUDED|Scn4"
