,NCBI Tax ID,category,scientific_name,common_names
0,49170,Miscellaneous,Rhododendron tomentosum,marsh tea; wild rosemary; crystal tea
1,65557,Plant,Alcea rosea,hollyhock
2,65558,Nuts & Seeds,Capparis spinosa,caperbush; caper
3,172057,Herbs and Spices,Centaurium erythraea,None
4,65561,Herbs and Spices,Hypericum perforatum,None
5,237596,Miscellaneous,Rosa davurica,None
6,196648,Miscellaneous,Desmanthus illinoensis,prairie bundleflower
7,106546,Fruit,Chaenomeles speciosa,mu gua; boke
8,196665,Fruit,Dichrostachys cinerea,None
9,49212,Nuts & Seeds,Salvia hispanica,None
10,434244,Miscellaneous,Lipandra polysperma,None
11,221251,Fruit,Chrysophyllum cainito,star apple
12,73824,Herbs and Spices,Populus balsamifera,hackmatack; balsam poplar
13,196706,Miscellaneous,Cirsium brevistylum,indian thistle
14,155764,Miscellaneous,Eucalyptus viminalis,None
15,196725,Miscellaneous,Cirsium lineare,None
16,442491,Vegetable-Root,Agave sisalana,sisal
17,1043716,Fruit,Ulmus macrocarpa,None
18,1007752,Flower,Gladiolus dalenii,None
19,278672,Miscellaneous,Symphytum officinale,boneset; common comfrey; slippery root
20,1351827,Miscellaneous,Rumex alpinus,monk's rhubarb
21,688283,Miscellaneous,Lespedeza juncea,None
22,49314,Fruit,Annona cherimola,chirimoya; custard apple; cherimoya
23,50507,Fruit,Schisandra chinensis,magnolia vine; wu wei zi
24,82086,Vegetable-Root,Eryngium campestre,None
25,229543,Plant Derivative,Hibiscus cannabinus,indian hemp; bimli jute; kenaf
26,172200,Nuts & Seeds,Terminalia arjuna,None
27,82093,Miscellaneous,Meum athamanticum,None
28,82095,Vegetable-Stem,Aralia elata,None
29,82096,Miscellaneous,Eleutherococcus senticosus,None
30,1155249,Miscellaneous,Alchemilla xanthochlora,lady's mantle
31,147635,Miscellaneous,Ranunculus sceleratus,None
32,360621,Herbs and Spices,Heracleum persicum,None
33,1196215,Herbs and Spices,Lavandula x intermedia,None
34,1155259,Miscellaneous,Chrysosplenium oppositifolium,None
35,1196222,Miscellaneous,Zanthoxylum planispinum,None
36,98504,"Beverage-caffeinated, Herbs and Spices",Matricaria chamomilla,german chamomile
37,1204434,Miscellaneous,Brassica rapa Broccoletto Group,broccoli raab; rapini; ruvo kale; broccoletto
38,327897,Miscellaneous,Copaifera multijuga,brazilian copaiba
39,205027,Miscellaneous,Acacia auriculiformis,None
40,295139,Plant Derivative,Leptospermum scoparium,None
41,57576,Herbs and Spices,Hedysarum alpinum,liquorice root
42,90345,Herbs and Spices,Abies balsamea,balsam fir
43,172266,Miscellaneous,Tilia cordata,None
44,49390,Miscellaneous,Coffea canephora,robusta coffee
45,172267,Miscellaneous,Salix caprea,None
46,57577,Miscellaneous,Trifolium pratense,red clover; peavine clover; purple clover; rotklee
47,205042,Miscellaneous,Acacia dealbata,None
48,205044,Miscellaneous,Acacia decurrens,None
49,114937,Fruit,Prunus spinosa,blackthorn
50,90363,Miscellaneous,Scrophularia nodosa,figwort
51,1040642,Miscellaneous,Carya aquatica,None
52,41230,Herbs and Spices,Marrubium vulgare,white horehound
53,450832,Miscellaneous,Coprosma propinqua,None
54,180498,Vegetable,Jatropha curcas,None
55,41241,Herbs and Spices,Rumex acetosa,sour dock; garden sorrel
56,90397,Nuts & Seeds,Echinochloa crus-galli,barnyard gras; cockspur grass; barnyard gra; cockspur gra; barnyard grass; cockspur gras
57,82207,Vegetable-Root,Polygonatum odoratum,yu zhu
58,82213,Miscellaneous,Iris pseudacorus,None
59,237863,Miscellaneous,Passiflora ligularis,None
60,1155369,Fruit,Sorbus domestica,None
61,57655,Fruit,Sapindus mukorossi,chinese soapberry; mukuroji; dodan; soapnut
62,180536,Vegetable-Leaf,Eruca vesicaria,garden rocket; arugula
63,237885,Miscellaneous,Passiflora tetrandra,None
64,90446,Vegetable,Bupleurum rotundifolium,None
65,16719,Nuts & Seeds,Juglans nigra,black walnut
66,33114,Vegetable,Capsicum baccatum,escabech; escabeche; peruvian pepper; piment chien; locoto; chinchi uchu
67,385370,Miscellaneous,Aster scaber,None
68,33117,Fruit,Mandragora officinarum,mandrake
69,33120,Fruit,Physalis alkekengi,gua jin deng; chinese lantern; winter cherry; hozuki; japanese lantern
70,33125,Herbs and Spices,Lepidium sativum,None
71,459111,Herbs and Spices,Brucea antidysenterica,None
72,82281,Miscellaneous,Campanula glomerata,clustered bellflower; dane's blood
73,82282,Miscellaneous,Campanula punctata,spotted bellflower
74,385388,Plant Derivative,Camellia oleifera,tea oil plant; abura tsubaki
75,237934,Miscellaneous,Viburnum edule,mooseberry
76,16752,Vegetable-Leaf,Houttuynia cordata,dokudami; chameleon plant
77,426348,Miscellaneous,Salix alaxensis,felt leaf willow
78,3331,Miscellaneous,Picea pungens,blue spruce; colorado spruce
79,3332,Miscellaneous,Picea sitchensis,sitka spruce
80,33152,Herbs and Spices,Ephedra sinica,chinese ephedra; cao ma huang
81,71654,Miscellaneous,Pinus virginiana,scrub pine
82,24962,Miscellaneous,Castanospermum australe,moreton Bay chestnut; australian chestnut
83,3333,Miscellaneous,Picea rubens,red spruce
84,82312,Miscellaneous,Lilium brownii,hong Kong lily; ye bai he
85,467334,Vegetable,Persicaria orientalis,None
86,237956,Miscellaneous,Viburnum rufidulum,rusty nanny berry; southern blackhaw; blue haw
87,164241,Miscellaneous,Pinus pungens,None
88,49554,Miscellaneous,Ligusticum scoticum,beach lovage; scots lovage
89,82322,Miscellaneous,Lilium martagon,None
90,49556,Vegetable-Leaf,Oenanthe javanica,None
91,688535,Miscellaneous,Cinnamomum loureiroi,saigon cinnamon
92,82327,Miscellaneous,Lilium pumilum,None
93,65948,Vegetable-Leaf,Nasturtium officinale,watercress; watercres; watercre
94,49558,Miscellaneous,Osmorhiza aristata,None
95,49563,Miscellaneous,Peucedanum japonicum,None
96,3341,Miscellaneous,Pinus wallichiana,himalayan white pine; bhutan pine; blue pine
97,49576,Vegetable-Root,Torilis japonica,None
98,41396,Miscellaneous,Tectona grandis,None
99,516546,Flower,Cirsium japonicum,None
100,516549,Miscellaneous,Fagopyrum dibotrys,jin qiao
101,49605,Miscellaneous,Rhododendron groenlandicum,labrador tea
102,516551,Vegetable-Root,Lycopus lucidus,di gua er miao; shiny bugleweed; shiro ne
103,131536,Miscellaneous,Taraxacum japonicum,None
104,3349,Miscellaneous,Pinus sylvestris,scotch pine; scots pine
105,3350,Miscellaneous,Pinus thunbergii,green pine; japanese black pine
106,262615,Miscellaneous,Quercus nigra,water oak
107,66014,Herbs and Spices,Cymbopogon citratus,lemon grass; lemon gras; lemon gra
108,49642,Vegetable-Root,Erythronium japonicum,None
109,49652,Vegetable,Scilla scilloides,chinese squill; japanese jacinth
110,49657,Herbs and Spices,Smilax china,china root
111,139772,Plant Derivative,Triadica sebifera,chinese tallowtree; popcorn tree; candleberry tree
112,49666,"Plant Derivative, Herbs and Spices",Paris polyphylla,None
113,16901,Miscellaneous,Aucuba japonica,None
114,1524234,Miscellaneous,Acacia concinna,None
115,16906,Herbs and Spices,Cornus officinalis,japanese cornel
116,41486,Plant,Atractylodes lancea,None
117,41492,Flower,Bellis perennis,english daisy
118,41496,Flower,Calendula officinalis,common marigold; pot marigold
119,82457,Nuts & Seeds,Cola nitida,None
120,123417,Miscellaneous,Euonymus europaeus,None
121,180763,Fruit,Vaccinium myrtillus,bilberry; whortleberry
122,41500,Miscellaneous,Carlina vulgaris,None
123,180766,Miscellaneous,Vaccinium parvifolium,red huckleberry
124,180767,Miscellaneous,Vaccinium reticulatum,None
125,180772,Fruit,Vaccinium vitis-idaea,lingenberry; cowberry
126,88032,Miscellaneous,Taxus canadensis,ground hemlock; canada yew
127,180768,Miscellaneous,Vaccinium smallii,None
128,66096,Herbs and Spices,Gleditsia sinensis,None
129,66097,Miscellaneous,Gymnocladus chinensis,None
130,41522,Flower,Centaurea cyanus,bachelor's button; blue bottle
131,90675,Miscellaneous,Camelina sativa,gold of pleasure; false flax
132,1417776,Miscellaneous,Pelargonium crispum,None
133,57912,Nuts & Seeds,Agrimonia eupatoria,None
134,57917,Herbs and Spices,Filipendula ulmaria,None
135,57918,Fruit,Fragaria vesca,woodland strawberry; alpine strawberry; wild strawberry; wood strawberry; european strawberry
136,57919,Miscellaneous,Geum urbanum,None
137,205378,Miscellaneous,Artemisia sieversiana,None
138,90693,Miscellaneous,Osmunda japonica,None
139,57926,Vegetable,Potentilla anserina,None
140,82502,Fruit,Trillium tschonoskii,None
141,246350,Fruit,Canarium vulgare,chinese olife; java almond; kanari; chinese olive
142,57936,Miscellaneous,Rubus chamaemorus,None
143,156241,Vegetable,Leptadenia lanceolata,None
144,41554,Flower,Coreopsis tinctoria,None
145,57940,Vegetable-Root,Potentilla erecta,None
146,246360,Plant Derivative,Commiphora wightii,None
147,57948,Miscellaneous,Dryas octopetala,None
148,246365,Fruit,Dacryodes edulis,None
149,82528,Herbs and Spices,Crocus sativus,saffron crocu; saffron crocus
150,41568,Flower,Chrysanthemum x morifolium,florist's chrysanthemum
151,172644,Fruit,Broussonetia papyrifera,paper mulberry; gou shu
152,262757,Fruit,Morella rubra,chinese arbutus; chinese bayberry; yang mei; yama momo; chinese arbutu
153,262756,Miscellaneous,Myrica nagi,None
154,123498,Plant Derivative,Aleurites moluccanus,None
155,66169,Miscellaneous,Cephalotaxus fortunei,fortune's plum yew; chinese plum yew
156,49797,Miscellaneous,Baptisia tinctoria,indigo broom; rattleweed; yellow broom; horseflyweed
157,49802,Miscellaneous,Cercis siliquastrum,None
158,1114761,Miscellaneous,Grindelia squarrosa,None
159,377494,Herbs and Spices,Bunium persicum,zira; black caraway
160,66205,Miscellaneous,Acer campestre,field maple; hedge maple
161,1237663,Miscellaneous,Crotalaria sessiliflora,None
162,49825,Miscellaneous,Genista tinctoria,dyer's greenweed
163,49827,Herbs and Spices,Glycyrrhiza glabra,None
164,205481,Vegetable-Tuber,Pachyrhizus tuberosus,jicama; yam bean; jiquima
165,58029,Miscellaneous,Cephalotaxus harringtonia,None
166,41644,Miscellaneous,Santolina chamaecyparissus,None
167,41648,Vegetable,Synurus deltoides,None
168,41650,Miscellaneous,Tarchonanthus camphoratus,None
169,58039,Fruit,Juniperus communis,common juniper
170,58041,Miscellaneous,Pinus cembra,arf; swiss stone pine; zirbelkiefer; arve
171,58042,Miscellaneous,Pinus nigra,black pine; corsican pine; austrian pine
172,58043,Miscellaneous,Podocarpus macrophyllus,None
173,58046,Nuts & Seeds,Platycladus orientalis,None
174,58047,Plant Derivative,Torreya grandis,chinese nutmeg yew
175,328401,Herbs and Spices,Zanthoxylum bungeanum,hua jiao; sichuan pepper
176,328402,Miscellaneous,Zanthoxylum simulans,ye hua jiao; sichuan pepper
177,205524,Miscellaneous,Solanum aethiopicum,gilo; scarlet eggplant; kumba
178,99037,Herbs and Spices,Chamaemelum nobile,None
179,99038,Miscellaneous,Glebionis coronaria,crown daisy
180,500452,Miscellaneous,Quercus velutina,None
181,107240,Herbs and Spices,Scoparia dulcis,sweet broom; escobilla; licorice weed; vassourinha; tapixaba
182,1008370,Miscellaneous,Amomum subulatum,hill cardamom; greater cardamom
