,geneID,gene_symbol,gene_name,gene_other_symbol,gene_synonyms
0,1,A1BG,alpha-1-B glycoprotein,"A1B, ABG, GAB, HYST2477",alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA
1,2,A2M,alpha-2-macroglobulin,"A2MD, CPAMD5, FWP007, S863-7",alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M
2,3,A2MP1,alpha-2-macroglobulin pseudogene 1,A2MP,pregnancy-zone protein pseudogene
3,131076,CCDC58,coiled-coil domain containing 58,None,coiled-coil domain-containing protein 58
4,9,NAT1,N-acetyltransferase 1,"AAC1, MNAT, NAT-1, NATI",arylamine N-acetyltransferase 1|N-acetyltransferase 1 (arylamine N-acetyltransferase)|N-acetyltransferase type 1|arylamide acetylase 1|monomorphic arylamine N-acetyltransferase
5,10,NAT2,N-acetyltransferase 2,"AAC2, NAT-2, PNAT",arylamine N-acetyltransferase 2|N-acetyltransferase 2 (arylamine N-acetyltransferase)|N-acetyltransferase type 2|arylamide acetylase 2
6,12,SERPINA3,serpin family A member 3,"AACT, ACT, GIG24, GIG25","alpha-1-antichymotrypsin|cell growth-inhibiting gene 24/25 protein|growth-inhibiting protein 24|growth-inhibiting protein 25|serine (or cysteine) proteinase inhibitor, clade A, member 3|serpin A3|serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"
7,13,AADAC,arylacetamide deacetylase,"CES5A1, DAC",arylacetamide deacetylase|arylacetamide deacetylase (esterase)
8,14,AAMP,angio associated migratory cell protein,None,angio-associated migratory cell protein
9,15,AANAT,aralkylamine N-acetyltransferase,"DSPS, SNAT",serotonin N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin acetylase
10,16,AARS,alanyl-tRNA synthetase,"CMT2N, EIEE29","alanine--tRNA ligase, cytoplasmic|alaRS|alanine tRNA ligase 1, cytoplasmic|alanyl-tRNA synthetase, cytoplasmic|renal carcinoma antigen NY-REN-42"
11,18,ABAT,4-aminobutyrate aminotransferase,"GABA-AT, GABAT, NPD009","4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase"
12,19,ABCA1,ATP binding cassette subfamily A member 1,"ABC-1, ABC1, CERP, HDLDT1, TGD","ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound"
13,20,ABCA2,ATP binding cassette subfamily A member 2,ABC2,"ATP-binding cassette sub-family A member 2|ATP-binding cassette 2|ATP-binding cassette transporter 2|ATP-binding cassette, sub-family A (ABC1), member 2|ATP-binding cassette, sub-family A, member 2"
